productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText
113742,Chikorita,Chikorita,https://tcgplayer-cdn.tcgplayer.com/product/113742_200w.jpg,3,1729,https://cpt.tcgcsv.com/SvW,2022-12-14T16:52:53.837,1,RC1/RC32,Common,Grass,50,Basic,"[1] Run Around
<br>Switch this Pokemon with 1 of your Benched Pokemon.",[1G] Vine Whip (20),Rx2,None,1,5.16,8.51,13.02,8.72,,Normal,
113743,Shroomish,Shroomish,https://tcgplayer-cdn.tcgplayer.com/product/113743_200w.jpg,3,1729,https://cpt.tcgcsv.com/TvW,2024-07-26T19:16:53.543,1,RC2/RC32,Common,Grass,60,Basic,"[G] Worry Seed (10)
<br>Flip a coin. If heads, your opponent's Active Pokémon is now Confused.",,Rx2,None,2,1.43,1.87,3.02,1.82,,Normal,
113744,Charmander,Charmander,https://tcgplayer-cdn.tcgplayer.com/product/113744_200w.jpg,3,1729,https://cpt.tcgcsv.com/VvW,2022-12-14T16:56:04.58,1,RC3/RC32,Common,Fire,70,Basic,"[1R] Playful (20x)
<br>Flip a coin. If heads, this attack does 20 damage times the number of damage counters on this Pokémon.",,Wx2,None,2,5.58,9.76,32.99,9.62,,Normal,
113745,Charmeleon,Charmeleon,https://tcgplayer-cdn.tcgplayer.com/product/113745_200w.jpg,3,1729,https://cpt.tcgcsv.com/WvW,2022-12-14T16:56:42.833,1,RC4/RC32,Common,Fire,90,Stage 1,"[1] Call for Support
<br>Search your deck for a Supporter card, reveal it, and put it into your hand. Shuffle your deck afterward.",[1RR] Slash (80),Wx2,None,2,7.5,11.6,24.95,11.38,,Normal,
113746,Charizard,Charizard,https://tcgplayer-cdn.tcgplayer.com/product/113746_200w.jpg,3,1729,https://cpt.tcgcsv.com/XvW,2024-07-20T04:34:57.687,1,RC5/RC32,Uncommon,Fire,160,Stage 2,"[1] Recall
<br>Choose 1 of this Pokémon's attacks from its previous Evolutions and use it as this attack.","[2RR] Combustion Blast (130)
<br>This Pokémon can't use Combustion Blast during your next turn.",Wx2,None,3,18.26,37.8,79.99,37.37,,Holofoil,
113747,Flareon EX,Flareon EX,https://tcgplayer-cdn.tcgplayer.com/product/113747_200w.jpg,3,1729,https://cpt.tcgcsv.com/ZvW,2024-07-10T20:47:02.22,1,RC6/RC32,Ultra Rare,Fire,170,Basic,"[3] Blaze Ball (50+)
<br>This attack does 20 more damage for each Fire Energy attached to this Pokémon.",,Wx2,None,2,33.57,51.14,99.99,51.73,,Holofoil,"<b>Ability — Flash Fire</b>
<br>Once during your turn (before your attack), you may move a Fire Energy from 1 of your Pokémon to this Pokémon."
113748,Flareon EX (Full Art),Flareon EX Full Art,https://tcgplayer-cdn.tcgplayer.com/product/113748_200w.jpg,3,1729,https://cpt.tcgcsv.com/-vW,2023-03-06T08:47:23.927,1,RC28/RC32,Ultra Rare,Fire,170,Basic,"[3] Blaze Ball (50+)
<br>This attack does 20 more damage for each Fire Energy attached to this Pokémon.",,Wx2,None,2,78.09,125.0,249.99,139.53,,Holofoil,"<b>Ability — Flash Fire</b>
<br>Once during your turn (before your attack), you may move a Fire Energy from 1 of your Pokémon to this Pokémon."
113749,Snorunt,Snorunt,https://tcgplayer-cdn.tcgplayer.com/product/113749_200w.jpg,3,1729,https://cpt.tcgcsv.com/_vW,2024-07-26T19:16:53.623,1,RC7/RC32,Common,Water,50,Basic,[1] Icy Snow (10),,Mx2,None,1,2.02,4.65,5.96,3.72,,Normal,
113750,Froslass,Froslass,https://tcgplayer-cdn.tcgplayer.com/product/113750_200w.jpg,3,1729,https://cpt.tcgcsv.com/0wW,2024-07-26T19:16:53.687,1,RC8/RC32,Uncommon,Water,90,Stage 1,"[3] Snowy Drop
<br>Put 4 damage counters on your opponent's Pokémon in any way you like.",,Mx2,None,2,0.99,2.29,999.99,2.24,2.02,Holofoil,"<b>Ability — Drag Along</b>
<br>If this Pokémon is your Active Pokémon and is Knocked Out by damage from an opponent's attack, flip a coin. If heads, the Attacking Pokémon is Knocked Out."
113751,Raichu,Raichu,https://tcgplayer-cdn.tcgplayer.com/product/113751_200w.jpg,3,1729,https://cpt.tcgcsv.com/2wW,2023-07-08T15:46:21.6,1,RC9/RC32,Common,Lightning,90,Stage 1,"[2] Circle Circuit (20x)
<br>This attack does 20 damage times the number of Pokémon on your Bench.","[1LL] Thunderbolt (100)
<br>Discard all Energy attached to this Pokémon.",Fx2,M-20,0,5.0,9.08,69.99,9.05,5.03,Normal,
