setName,avgMarketPrice,releaseYear
Final Fantasy,22299.84,2025
Final Fantasy Commander,7769.81,2025
MagicFest 2025,6581.900000000001,2025
Edge of Eternities: Stellar Sights,6526.23,2025
Edge of Eternities,6022.44,2025
Final Fantasy: Through the Ages,4285.33,2025
Innistrad Remastered,4045.69,2025
Marvel's Spider-Man,3565.8,2025
Tarkir: Dragonstorm,3411.08,2025
Aetherdrift,2754.11,2025
Spotlight Series,2405.8999999999996,2025
Final Fantasy Promos,1880.33,2025
Tarkir: Dragonstorm Promos,1208.26,2025
Aetherdrift Promos,799.9399999999999,2025
Marvel's Spider-Man Eternal,711.82,2025
Tarkir: Dragonstorm Commander,586.8,2025
Edge of Eternities Promos,436.29,2025
Year of the Snake 2025,373.29,2025
Edge of Eternities Commander,173.05,2025
Aetherdrift Commander,165.54,2025
Wizards Play Network 2025,162.14,2025
FIN Standard Showdown,77.34,2025
The Big Score Promos,64.89,2025
Love Your LGS 2025,6.260000000000001,2025
Ravnica Remastered,18867.52,2024
Modern Horizons 3,9142.07,2024
Fallout,8796.51,2024
Foundations,8273.47,2024
Mystery Booster 2,8111.06,2024
Bloomburrow,3923.92,2024
Duskmourn: House of Horror,3789.4900000000002,2024
Murders at Karlov Manor,3429.48,2024
Bloomburrow Commander,3280.53,2024
The Big Score,2744.44,2024
Assassin's Creed,2025.93,2024
Outlaws of Thunder Junction,1326.57,2024
Murders at Karlov Manor Promos,1269.05,2024
Duskmourn: House of Horror Promos,1264.82,2024
Bloomburrow Promos,1216.58,2024
Modern Horizons 3 Commander,1165.13,2024
Breaking News,1122.76,2024
Outlaws of Thunder Junction Promos,936.17,2024
Modern Horizons 3 Promos,802.6,2024
Foundations Jumpstart,534.68,2024
Duskmourn: House of Horror Commander,464.6,2024
Foundations Promos,462.81,2024
Ravnica: Clue Edition,435.77,2024
Outlaws of Thunder Junction Commander,343.8,2024
Murders at Karlov Manor Commander,341.65,2024
Modern Horizons 2 Timeshifts,326.4,2024
Year of the Dragon 2024,153.04999999999998,2024
Wizards Play Network 2024,72.08,2024
Cowboy Bebop,21.8,2024
MagicFest 2024,15.030000000000001,2024
Foundations Commander,5.2,2024
Love Your LGS 2024,3.18,2024
Tales of Middle-earth Deluxe Commander Kit,2.48,2024
Lord of the Rings: Tales of Middle-Earth,15884.97,2023
Secret Lair Showdown,13019.449999999999,2023
Multiverse Legends,11308.19,2023
Commander Masters,9637.92,2023
Special Guests,8999.9,2023
Tales of Middle Earth Commander,7796.14,2023
Universes Beyond: Doctor Who,6440.63,2023
Wilds of Eldraine: Enchanting Tales,6230.27,2023
Jurassic World Collection,4249.67,2023
March of the Machine,3417.92,2023
Dominaria Remastered,3135.61,2023
The Lost Caverns of Ixalan,3036.82,2023
Phyrexia: All Will Be One,2803.25,2023
Lost Caverns of Ixalan Commander,1699.88,2023
March of the Machine: The Aftermath,1457.3700000000001,2023
Wilds of Eldraine,1277.49,2023
Phyrexia: All Will Be One Promos,1190.88,2023
Wilds of Eldraine Promos,978.92,2023
Tales of Middle-earth Promos,946.03,2023
The Lost Caverns of Ixalan Promos,906.02,2023
March of the Machine Promos,877.5,2023
March of the Machine Commander,641.26,2023
Wilds of Eldraine Commander,540.72,2023
Regional Championship Qualifiers 2023,497.75,2023
Phyrexia: All Will Be One Commander,412.98,2023
Judge Gift Cards 2023,141.1,2023
March of the Machine: The Aftermath Promos,105.38,2023
Time Spiral Remastered Promos,92.71,2023
MagicFest 2023,85.13,2023
Year of the Rabbit 2023,56.459999999999994,2023
Wizards Play Network 2023,30.43,2023
Unknown Event,29.44,2023
30th Anniversary Edition,70092.74,2022
The Brothers' War Retro Artifacts,14322.46,2022
Eternal Weekend 2022,10670.69,2022
Double Masters 2022,8084.24,2022
Transformers,4776.47,2022
Commander Legends: Battle for Baldur's Gate,4534.32,2022
Kamigawa: Neon Dynasty,3359.88,2022
Innistrad: Double Feature,3338.48,2022
Unfinity,2861.1,2022
"Warhammer 40,000",2395.97,2022
Store Championships 2022,2010.33,2022
Dominaria United,1543.93,2022
Streets of New Capenna,1446.1,2022
The Brothers' War,1049.78,2022
New Capenna Commander Promos,987.4399999999999,2022
Dominaria United Promos,980.88,2022
Battle for Baldur's Gate Promos,932.15,2022
The Brothers' War Promos,847.31,2022
Kamigawa: Neon Dynasty Promos,843.24,2022
30th Anniversary History Promos,773.4,2022
New Capenna Commander,746.28,2022
Secret Lair 30th Anniversary Countdown Kit,701.61,2022
Jump Start 2022,700.72,2022
Streets of New Capenna Promos,685.42,2022
Dominaria United Commander,500.41,2022
The Brothers' War Commander,359.53,2022
Judge Gift Cards 2022,354.54,2022
Kamigawa: Neon Dynasty Commander,318.63,2022
Starter Commander Decks,198.94,2022
Regional Championship Qualifiers 2022,186.83999999999997,2022
Universes Within,175.46,2022
Commander Collection: Black,139.60999999999999,2022
Game Night 2022,124.66,2022
Year of the Tiger 2022,110.03999999999999,2022
30th Anniversary Promos,109.9,2022
30th Anniversary Misc Promos,97.31,2022
Game Day Promos,68.12,2022
The List (Unfinity Foil Edition),35.84,2022
Unfinity Sticker Sheets,20.95,2022
Wizards Play Network 2022,13.65,2022
Love Your LGS 2022,6.57,2022
Time Spiral Remastered,5660.17,2021
Modern Horizons 2,3970.04,2021
Adventures in the Forgotten Realms Promos,3126.1,2021
Kaldheim,2217.76,2021
Adventures in the Forgotten Realms,1209.68,2021
Kaldheim Promos,1190.41,2021
Innistrad: Crimson Vow,1073.9,2021
Strixhaven Mystical Archive,1047.45,2021
Strixhaven: School of Mages,899.12,2021
Innistrad: Midnight Hunt,863.8,2021
Modern Horizons 2 Promos,830.68,2021
Modern Horizons 1 Timeshifts,817.75,2021
Commander 2021,773.97,2021
Adventures in the Forgotten Realms Commander,700.49,2021
Innistrad: Crimson Vow Promos,629.92,2021
Innistrad: Midnight Hunt Promos,610.35,2021
Strixhaven: School of Mages Promos,560.4399999999999,2021
Judge Gift Cards 2021,387.48,2021
Innistrad: Crimson Vow Commander,225.93,2021
Innistrad: Midnight Hunt Commander,206.04,2021
Kaldheim Commander,106.25,2021
Love Your LGS 2021,52.32,2021
Mystery Booster Playtest Cards 2021,51.74,2021
Year of the Ox 2021,40.76,2021
Wizards Play Network 2021,40.09,2021
Commander 2021 Display Commanders,10.79,2021
Pioneer Challenger Decks 2021,10.66,2021
Forgotten Realms Oversized Cards,8.02,2021
Forgotten Realms Commander Display Commanders,4.85,2021
Midnight Hunt Commander Display Commanders,4.11,2021
Crimson Vow Commander Display Commanders,1.4,2021
The List,9226.92,2020
Double Masters,7490.56,2020
Commander Legends,4456.87,2020
Ikoria: Lair of Behemoths,2339.9,2020
Zendikar Rising Expeditions,1934.16,2020
Zendikar Rising,1889.67,2020
Core Set 2021,1824.77,2020
Theros Beyond Death,1652.25,2020
Ikoria: Lair of Behemoths Promos,1155.25,2020
Core Set 2021 Promos,1108.89,2020
Theros Beyond Death Promos,1071.9,2020
Zendikar Rising Promos,891.29,2020
Judge Gift Cards 2020,583.58,2020
Jumpstart,527.98,2020
Ikoria Commander,464.3,2020
Secret Lair: Ultimate Edition,308.24,2020
Commander Collection: Green,210.2,2020
Commander Legends Promos,204.48,2020
Zendikar Rising Commander,94.99,2020
Signature Spellbook: Chandra,70.0,2020
Unsanctioned,34.34,2020
MagicFest 2020,16.68,2020
Love Your LGS 2020,11.79,2020
Commander 2020 Oversized,3.74,2020
Secret Lair Drop,61942.39,2019
Throne of Eldraine,1889.33,2019
Modern Horizons,1855.69,2019
Core Set 2020 Promos,1297.34,2019
Core Set 2020,880.7,2019
Throne of Eldraine Promos,851.54,2019
War of the Spark,812.9399999999999,2019
War of the Spark Promos,796.2,2019
Ravnica Allegiance,677.98,2019
Ravnica Allegiance Promos,551.03,2019
Judge Gift Cards 2019,541.0,2019
Ponies: The Galloping,441.46000000000004,2019
Commander 2019,251.85,2019
San Diego Comic-Con 2019,216.18,2019
Mystery Booster Playtest Cards 2019,210.16,2019
Guild Kit: Azorius,102.74,2019
Signature Spellbook: Gideon,54.89,2019
Game Night 2019,49.05,2019
Modern Horizons Promos,21.0,2019
MagicFest 2019,17.59,2019
Commander 2019 Oversized,2.98,2019
Ultimate Masters,2230.73,2018
Ultimate Box Toppers,1598.85,2018
Battlebond,1531.16,2018
Masters 25,1314.84,2018
Core Set 2019,978.58,2018
Core Set 2019 Promos,951.72,2018
Rivals of Ixalan Promos,865.77,2018
Dominaria Promos,822.97,2018
Dominaria,740.17,2018
Rivals of Ixalan,736.41,2018
Guilds of Ravnica,655.53,2018
Masters Edition,625.48,2018
Judge Gift Cards 2018,590.02,2018
Guilds of Ravnica Promos,535.07,2018
Commander Anthology 2018,429.69,2018
Planechase Anthology Planes,369.93,2018
Commander 2018,266.16,2018
San Diego Comic-Con 2018,208.27,2018
Battlebond Promos,108.28999999999999,2018
