productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extWeakness,extResistance,extRetreatCost,extCardText
83509,Alph Lithograph,Alph Lithograph,https://tcgplayer-cdn.tcgplayer.com/product/83509_200w.jpg,3,1402,https://cpt.tcgcsv.com/cqH,2016-01-13T17:57:37.83,1,ONE,Ultra Rare,Trainer,0,Trainer,Look at your opponent's hand!,34.2,80.22,116.66,64.12,,Holofoil,,,,,
83544,Ampharos,Ampharos,https://tcgplayer-cdn.tcgplayer.com/product/83544_200w.jpg,3,1402,https://cpt.tcgcsv.com/VqH,2023-11-28T17:50:02.33,1,14/123,Rare,Lightning,120,Stage 2,[L] Acceleration Bolt (30) Search your deck for up to 2 basic Energy cards and attach them to 1 of your Pokemon.  Shuffle your deck afterward.,2.04,2.9,14.49,3.42,,Normal,"[2L] Thunder (80) Flip a coin.  If tails, Ampharos does 20 damage to itself.",Fx2,M-20,1,
83544,Ampharos,Ampharos,https://tcgplayer-cdn.tcgplayer.com/product/83544_200w.jpg,3,1402,https://cpt.tcgcsv.com/VqH,2023-11-28T17:50:02.33,1,14/123,Rare,Lightning,120,Stage 2,[L] Acceleration Bolt (30) Search your deck for up to 2 basic Energy cards and attach them to 1 of your Pokemon.  Shuffle your deck afterward.,10.0,11.44,16.58,9.89,,Reverse Holofoil,"[2L] Thunder (80) Flip a coin.  If tails, Ampharos does 20 damage to itself.",Fx2,M-20,1,
83545,Ampharos (Prime),Ampharos Prime,https://tcgplayer-cdn.tcgplayer.com/product/83545_200w.jpg,3,1402,https://cpt.tcgcsv.com/WqH,2023-11-28T20:34:24.03,1,105/123,Ultra Rare,Lightning,140,Stage 2,"[2L] Lightning Crush (40+) Flip a coin.  If heads, this attack does 40 damage plus 40 more damage.  If tails, discard an Energy attached to the Defending Pokemon.",34.98,40.98,49.98,28.67,22.22,Holofoil,,Fx2,M-20,2,"Connectivity - Whenever your opponent attaches an Energy card from his or her hand to 1 of his or her Pokemon, put 1 damage counter on that Pokemon.  (Poke-BODY)"
83586,Arcanine,Arcanine,https://tcgplayer-cdn.tcgplayer.com/product/83586_200w.jpg,3,1402,https://cpt.tcgcsv.com/LrH,2023-11-28T17:45:32.537,1,1/123,Holo Rare,Fire,110,Stage 1,[1R] Sharp Fang (50),32.6,36.41,49.99,36.13,,Holofoil,[3R] Fire Mane (90),Wx2,,2,
83586,Arcanine,Arcanine,https://tcgplayer-cdn.tcgplayer.com/product/83586_200w.jpg,3,1402,https://cpt.tcgcsv.com/LrH,2023-11-28T17:45:32.537,1,1/123,Holo Rare,Fire,110,Stage 1,[1R] Sharp Fang (50),20.0,24.21,39.99,34.38,,Reverse Holofoil,[3R] Fire Mane (90),Wx2,,2,
83618,Ariados,Ariados,https://tcgplayer-cdn.tcgplayer.com/product/83618_200w.jpg,3,1402,https://cpt.tcgcsv.com/nsH,2023-11-28T17:50:13.997,1,15/123,Rare,Grass,80,Stage 1,[1G] Leech Life (30) Remove from Ariados the number of damage counters equal to the damage you did to the Defending Pokemon.,0.3,0.76,1.97,0.79,,Normal,[2G] Poisonous Saliva (50),Rx2,,1,
83618,Ariados,Ariados,https://tcgplayer-cdn.tcgplayer.com/product/83618_200w.jpg,3,1402,https://cpt.tcgcsv.com/nsH,2023-11-28T17:50:13.997,1,15/123,Rare,Grass,80,Stage 1,[1G] Leech Life (30) Remove from Ariados the number of damage counters equal to the damage you did to the Defending Pokemon.,0.87,2.03,5.24,2.22,,Reverse Holofoil,[2G] Poisonous Saliva (50),Rx2,,1,
83685,Azumarill,Azumarill,https://tcgplayer-cdn.tcgplayer.com/product/83685_200w.jpg,3,1402,https://cpt.tcgcsv.com/KtH,2023-11-28T17:46:48.237,1,2/123,Holo Rare,Water,90,Stage 1,[WW] Waterfall (40),3.33,4.19,15.0,4.88,,Holofoil,"[2W] Bubblebeam (60) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",Lx2,,2,
83685,Azumarill,Azumarill,https://tcgplayer-cdn.tcgplayer.com/product/83685_200w.jpg,3,1402,https://cpt.tcgcsv.com/KtH,2023-11-28T17:46:48.237,1,2/123,Holo Rare,Water,90,Stage 1,[WW] Waterfall (40),2.0,3.0,5.0,3.67,,Reverse Holofoil,"[2W] Bubblebeam (60) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",Lx2,,2,
83748,Bayleef,Bayleef,https://tcgplayer-cdn.tcgplayer.com/product/83748_200w.jpg,3,1402,https://cpt.tcgcsv.com/-vH,2023-11-28T17:52:43.34,1,35/123,Uncommon,Grass,90,Stage 1,[1] Hammer In (20),0.5,1.0,4.49,1.22,,Normal,[2G] Razor Leaf (50),Rx2,W-20,2,
83748,Bayleef,Bayleef,https://tcgplayer-cdn.tcgplayer.com/product/83748_200w.jpg,3,1402,https://cpt.tcgcsv.com/-vH,2023-11-28T17:52:43.34,1,35/123,Uncommon,Grass,90,Stage 1,[1] Hammer In (20),7.0,10.0,16.7,12.82,,Reverse Holofoil,[2G] Razor Leaf (50),Rx2,W-20,2,
83832,Bill,Bill,https://tcgplayer-cdn.tcgplayer.com/product/83832_200w.jpg,3,1402,https://cpt.tcgcsv.com/GxH,2023-11-28T20:00:41.717,1,89/123,Uncommon,Supporter,0,Supporter,Draw 2 cards.,0.01,0.25,1.25,0.27,0.17,Normal,,,,,"You can play only one Supporter each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card."
83832,Bill,Bill,https://tcgplayer-cdn.tcgplayer.com/product/83832_200w.jpg,3,1402,https://cpt.tcgcsv.com/GxH,2023-11-28T20:00:41.717,1,89/123,Uncommon,Supporter,0,Supporter,Draw 2 cards.,0.9,1.4,6.51,0.9,,Reverse Holofoil,,,,,"You can play only one Supporter each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card."
83923,Blissey,Blissey,https://tcgplayer-cdn.tcgplayer.com/product/83923_200w.jpg,3,1402,https://cpt.tcgcsv.com/tBH,2023-11-28T17:52:50.39,1,36/123,Uncommon,Colorless,130,Stage 1,[1] Energy Link (10) Search your discard pile for an Energy card and attach it to Blissey.,0.23,1.0,2.0,1.26,0.65,Normal,[3] Double-edge (80) Blissey does 40 damage to itself.,Fx2,,3,
83923,Blissey,Blissey,https://tcgplayer-cdn.tcgplayer.com/product/83923_200w.jpg,3,1402,https://cpt.tcgcsv.com/tBH,2023-11-28T17:52:50.39,1,36/123,Uncommon,Colorless,130,Stage 1,[1] Energy Link (10) Search your discard pile for an Energy card and attach it to Blissey.,1.01,2.61,7.0,1.57,,Reverse Holofoil,[3] Double-edge (80) Blissey does 40 damage to itself.,Fx2,,3,
83924,Blissey (Prime),Blissey Prime,https://tcgplayer-cdn.tcgplayer.com/product/83924_200w.jpg,3,1402,https://cpt.tcgcsv.com/vBH,2023-11-29T16:26:35.767,1,106/123,Ultra Rare,Colorless,130,Stage 1,[3] Strength (60),18.88,34.24,59.99,32.85,,Holofoil,,Fx2,,2,"Blissful Nurse - Once during your turn, when you play Blissey from your hand to evolve 1 of your Pokemon, you may remove all damage counters from all of your Pokemon.  If you do, discard all Energy attached to those Pokemon that had any damage counters on them.  (Poke-POWER)"
84067,Butterfree,Butterfree,https://tcgplayer-cdn.tcgplayer.com/product/84067_200w.jpg,3,1402,https://cpt.tcgcsv.com/mFH,2023-11-28T17:50:19.547,1,16/123,Rare,Grass,120,Stage 2,[G] Cure Powder - Remove 3 damage counters from each of your Pokemon.,3.55,5.92,9.6,5.49,,Normal,[2G] Whirlwind (60) Your opponent switches the Defending Pokemon with 1 of his or her Benched Pokemon.,Lx2,F-20,0,
84067,Butterfree,Butterfree,https://tcgplayer-cdn.tcgplayer.com/product/84067_200w.jpg,3,1402,https://cpt.tcgcsv.com/mFH,2023-11-28T17:50:19.547,1,16/123,Rare,Grass,120,Stage 2,[G] Cure Powder - Remove 3 damage counters from each of your Pokemon.,10.0,13.85,17.7,10.73,,Reverse Holofoil,[2G] Whirlwind (60) Your opponent switches the Defending Pokemon with 1 of his or her Benched Pokemon.,Lx2,F-20,0,
84138,Caterpie,Caterpie,https://tcgplayer-cdn.tcgplayer.com/product/84138_200w.jpg,3,1402,https://cpt.tcgcsv.com/NGH,2023-11-28T17:56:32.35,1,57/123,Common,Grass,30,Basic,[1] Tackle (20),0.03,0.54,2.1,0.64,,Normal,,Rx2,,1,
84177,Chansey,Chansey,https://tcgplayer-cdn.tcgplayer.com/product/84177_200w.jpg,3,1402,https://cpt.tcgcsv.com/zHH,2023-11-28T17:56:40.34,1,58/123,Common,Colorless,90,Basic,[2] Pound (20),0.2,0.58,8.69,0.63,,Normal,"[3] Happy Punch (30) Flip a coin.  If heads, remove 3 damage counters from Chansey.",Fx2,,2,
84177,Chansey,Chansey,https://tcgplayer-cdn.tcgplayer.com/product/84177_200w.jpg,3,1402,https://cpt.tcgcsv.com/zHH,2023-11-28T17:56:40.34,1,58/123,Common,Colorless,90,Basic,[2] Pound (20),3.75,6.0,19.99,13.5,,Reverse Holofoil,"[3] Happy Punch (30) Flip a coin.  If heads, remove 3 damage counters from Chansey.",Fx2,,2,
84279,Chikorita,Chikorita,https://tcgplayer-cdn.tcgplayer.com/product/84279_200w.jpg,3,1402,https://cpt.tcgcsv.com/CKH,2023-11-28T17:56:48.243,1,59/123,Common,Grass,60,Basic,[G] Tackle (10),0.25,0.5,24.0,0.51,,Normal,[1G] Razor Leaf (20),Rx2,W-20,1,
84279,Chikorita,Chikorita,https://tcgplayer-cdn.tcgplayer.com/product/84279_200w.jpg,3,1402,https://cpt.tcgcsv.com/CKH,2023-11-28T17:56:48.243,1,59/123,Common,Grass,60,Basic,[G] Tackle (10),1.91,6.0,9.99,7.24,,Reverse Holofoil,[1G] Razor Leaf (20),Rx2,W-20,1,
84346,Clefable,Clefable,https://tcgplayer-cdn.tcgplayer.com/product/84346_200w.jpg,3,1402,https://cpt.tcgcsv.com/XLH,2023-11-28T17:47:23.18,1,3/123,Holo Rare,Colorless,80,Stage 1,[2] Fairy Power - Return 1 of your Pokemon and all cards attached to it to your hand.,2.49,5.71,9.99,5.45,,Holofoil,[2] Moon Impact (40),Fx2,,1,
84346,Clefable,Clefable,https://tcgplayer-cdn.tcgplayer.com/product/84346_200w.jpg,3,1402,https://cpt.tcgcsv.com/XLH,2023-11-28T17:47:23.18,1,3/123,Holo Rare,Colorless,80,Stage 1,[2] Fairy Power - Return 1 of your Pokemon and all cards attached to it to your hand.,1.05,2.0,2.5,5.46,,Reverse Holofoil,[2] Moon Impact (40),Fx2,,1,
