productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText
45120,Clefable (1),Clefable 1,https://tcgplayer-cdn.tcgplayer.com/product/45120_200w.jpg,3,635,https://cpt.tcgcsv.com/q3n,2023-11-27T18:49:46.257,1,01/64,Holo Rare,Colorless,70,Stage 1,"[1] Metronome
<br>
Choose 1 of the Defending Pokémon's attacks. Metronome copies that attack except for its Energy costs and anything else required in order to use that attack, such as discarding Energy cards. <em>(No matter what type the Defending Pokémon is, Clefable's type is still Colorless.)</em>","[2] Minimize
<br>
All damage done by attacks to Clefable during your opponent's next turn is reduced by 20 <em>(after applying Weakness and Resistance)</em>.",F,P-30,2,45.95,56.61,159.44,57.9,,1st Edition Holofoil,
45120,Clefable (1),Clefable 1,https://tcgplayer-cdn.tcgplayer.com/product/45120_200w.jpg,3,635,https://cpt.tcgcsv.com/q3n,2023-11-27T18:49:46.257,1,01/64,Holo Rare,Colorless,70,Stage 1,"[1] Metronome
<br>
Choose 1 of the Defending Pokémon's attacks. Metronome copies that attack except for its Energy costs and anything else required in order to use that attack, such as discarding Energy cards. <em>(No matter what type the Defending Pokémon is, Clefable's type is still Colorless.)</em>","[2] Minimize
<br>
All damage done by attacks to Clefable during your opponent's next turn is reduced by 20 <em>(after applying Weakness and Resistance)</em>.",F,P-30,2,13.51,19.15,79.99,28.74,,Unlimited Holofoil,
45121,Scyther (10),Scyther 10,https://tcgplayer-cdn.tcgplayer.com/product/45121_200w.jpg,3,635,https://cpt.tcgcsv.com/r3n,2022-11-16T21:43:07.593,1,10/64,Holo Rare,Grass,70,Basic,"[G] Swords Dance
<br>During your next turn, Scyther's Slash attack's base damage is 60 instead of 30.",[3] Slash (30),R,F-30,,64.95,80.0,139.99,110.23,64.99,1st Edition Holofoil,
45121,Scyther (10),Scyther 10,https://tcgplayer-cdn.tcgplayer.com/product/45121_200w.jpg,3,635,https://cpt.tcgcsv.com/r3n,2022-11-16T21:43:07.593,1,10/64,Holo Rare,Grass,70,Basic,"[G] Swords Dance
<br>During your next turn, Scyther's Slash attack's base damage is 60 instead of 30.",[3] Slash (30),R,F-30,,20.0,42.8,9999.0,43.52,,Unlimited Holofoil,
45122,Snorlax (11),Snorlax 11,https://tcgplayer-cdn.tcgplayer.com/product/45122_200w.jpg,3,635,https://cpt.tcgcsv.com/s3n,2024-08-05T07:16:09.057,1,11/64,Holo Rare,Colorless,90,Basic,"[4] Body Slam (30)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",,F,P-30,4,210.0,247.67,599.99,305.22,,1st Edition Holofoil,"<strong>Pokémon Power: Thick Skinned</strong>
<br>
Snorlax can't become Asleep, Confused, Paralyzed, or Poisoned. This power can't be used if Snorlax is already Asleep, Confused, or Paralyzed."
45122,Snorlax (11),Snorlax 11,https://tcgplayer-cdn.tcgplayer.com/product/45122_200w.jpg,3,635,https://cpt.tcgcsv.com/s3n,2024-08-05T07:16:09.057,1,11/64,Holo Rare,Colorless,90,Basic,"[4] Body Slam (30)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",,F,P-30,4,45.0,61.99,119.99,78.81,,Unlimited Holofoil,"<strong>Pokémon Power: Thick Skinned</strong>
<br>
Snorlax can't become Asleep, Confused, Paralyzed, or Poisoned. This power can't be used if Snorlax is already Asleep, Confused, or Paralyzed."
45123,Vaporeon (12),Vaporeon 12,https://tcgplayer-cdn.tcgplayer.com/product/45123_200w.jpg,3,635,https://cpt.tcgcsv.com/t3n,2024-10-16T20:58:05.007,1,12/64,Holo Rare,Water,80,Stage 1,"[2] Quick Attack (10+)
<br>Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.","[1WW] Water Gun (30+)
<br>Does 30 damage plus 10 more damage for each Water Energy attached to Vaporeon but not used to pay for this attack's Energy cost. Extra Water energy after the 2nd doesn't count.",L,,1,138.0,202.7,299.99,228.23,140.0,1st Edition Holofoil,
45123,Vaporeon (12),Vaporeon 12,https://tcgplayer-cdn.tcgplayer.com/product/45123_200w.jpg,3,635,https://cpt.tcgcsv.com/t3n,2024-10-16T20:58:05.007,1,12/64,Holo Rare,Water,80,Stage 1,"[2] Quick Attack (10+)
<br>Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.","[1WW] Water Gun (30+)
<br>Does 30 damage plus 10 more damage for each Water Energy attached to Vaporeon but not used to pay for this attack's Energy cost. Extra Water energy after the 2nd doesn't count.",L,,1,12.0,19.98,55.55,25.23,,Unlimited Holofoil,
45124,Venomoth (13),Venomoth 13,https://tcgplayer-cdn.tcgplayer.com/product/45124_200w.jpg,3,635,https://cpt.tcgcsv.com/v3n,2025-03-14T14:39:10.027,1,13/64,Holo Rare,Grass,70,Stage 1,"[GG] Venom Powder (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Confused and Poisoned.",,R,F-30,,30.92,50.21,105.0,98.34,,1st Edition Holofoil,"<strong>Pokémon Power: Shift</strong> Once during your turn <em>(before your attack)</em>, you may change the type of Venomoth to the type of any other Pokémon in play other than Colorless. This power can't be used if Venomoth is Asleep, Confused, or Paralyzed."
45124,Venomoth (13),Venomoth 13,https://tcgplayer-cdn.tcgplayer.com/product/45124_200w.jpg,3,635,https://cpt.tcgcsv.com/v3n,2025-03-14T14:39:10.027,1,13/64,Holo Rare,Grass,70,Stage 1,"[GG] Venom Powder (10)
<br>Flip a coin. If heads, the Defending Pokémon is now Confused and Poisoned.",,R,F-30,,10.55,16.54,85.33,21.79,,Unlimited Holofoil,"<strong>Pokémon Power: Shift</strong> Once during your turn <em>(before your attack)</em>, you may change the type of Venomoth to the type of any other Pokémon in play other than Colorless. This power can't be used if Venomoth is Asleep, Confused, or Paralyzed."
