productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extAttack3
83682,Azumarill,Azumarill,https://tcgplayer-cdn.tcgplayer.com/product/83682_200w.jpg,3,1428,https://cpt.tcgcsv.com/GtH,2024-04-11T17:52:38.16,1,1/109,Holo Rare,Water,80,Stage 1,"<b>Poke-POWER</b> Froth <br>
<br>Once during your turn, when you play Azumarill from your hand to evolve 1 of your Active Pokemon, you may use this power.  Each Defending Pokemon is now Paralyzed.","[1W] Water Punch (20+) 
<br>Flip a coin for each Water Energy attached to Azumarill.  This attack does 20 damage plus 20 more for each heads.",L,None,1,21.99,28.47,49.99,25.68,49.99,Holofoil,,
83682,Azumarill,Azumarill,https://tcgplayer-cdn.tcgplayer.com/product/83682_200w.jpg,3,1428,https://cpt.tcgcsv.com/GtH,2024-04-11T17:52:38.16,1,1/109,Holo Rare,Water,80,Stage 1,"<b>Poke-POWER</b> Froth <br>
<br>Once during your turn, when you play Azumarill from your hand to evolve 1 of your Active Pokemon, you may use this power.  Each Defending Pokemon is now Paralyzed.","[1W] Water Punch (20+) 
<br>Flip a coin for each Water Energy attached to Azumarill.  This attack does 20 damage plus 20 more for each heads.",L,None,1,38.75,45.0,65.0,44.49,,Reverse Holofoil,,
84227,Charmeleon,Charmeleon,https://tcgplayer-cdn.tcgplayer.com/product/84227_200w.jpg,3,1428,https://cpt.tcgcsv.com/zJH,2024-04-11T17:52:38.573,1,110/109,Secret Rare,Fire,70,Stage 1,,"[R] Smokescreen (10) 
<br>If the Defending Pokemon tries to attack during your opponent's next turn, your opponent flips a coin.  If tails, that attack does nothing.",W,None,1,48.68,48.68,48.68,50.0,,Normal,"[1R] Fireworks (40) 
<br>Flip a coin.  If tails, discard a Fire Energy card attached to Charmeleon.",
84227,Charmeleon,Charmeleon,https://tcgplayer-cdn.tcgplayer.com/product/84227_200w.jpg,3,1428,https://cpt.tcgcsv.com/zJH,2024-04-11T17:52:38.573,1,110/109,Secret Rare,Fire,70,Stage 1,,"[R] Smokescreen (10) 
<br>If the Defending Pokemon tries to attack during your opponent's next turn, your opponent flips a coin.  If tails, that attack does nothing.",W,None,1,41.99,69.0,99.99,53.98,,Holofoil,"[1R] Fireworks (40) 
<br>Flip a coin.  If tails, discard a Fire Energy card attached to Charmeleon.",
84424,Copycat,Copycat,https://tcgplayer-cdn.tcgplayer.com/product/84424_200w.jpg,3,1428,https://cpt.tcgcsv.com/vNH,2024-04-11T17:52:38.673,1,83/109,Uncommon,Supporter,,,"You can play only one Supporter card each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.<br>
<br><br>
<br>Shuffle your hand into your deck.  Then, count the number of cards in your opponent's hand and draw that many cards.",,,,,3.5,7.03,19.99,6.14,,Normal,,
84424,Copycat,Copycat,https://tcgplayer-cdn.tcgplayer.com/product/84424_200w.jpg,3,1428,https://cpt.tcgcsv.com/vNH,2024-04-11T17:52:38.673,1,83/109,Uncommon,Supporter,,,"You can play only one Supporter card each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.<br>
<br><br>
<br>Shuffle your hand into your deck.  Then, count the number of cards in your opponent's hand and draw that many cards.",,,,,13.75,18.75,36.7,14.61,,Reverse Holofoil,,
84532,Cubone,Cubone,https://tcgplayer-cdn.tcgplayer.com/product/84532_200w.jpg,3,1428,https://cpt.tcgcsv.com/GQH,2024-04-11T17:52:38.783,1,51/109,Common,Fighting,50,Basic,,"[1] Look for Friends 
<br> Reveal cards from your deck until you reveal a Basic Pokemon.  Show that card to your opponent and put it into your hand.  Shuffle the other revealed cards back into your deck. <i> (If you don't reveal a Basic Pokemon, shuffle all the revealed cards back into your deck.)</i>",G,None,1,0.6,1.42,3.75,1.58,,Normal,"[F] Bonemerang (10x) 
<br>Flip 2 coins.  This attack does 10 damage times the number of heads.",
84532,Cubone,Cubone,https://tcgplayer-cdn.tcgplayer.com/product/84532_200w.jpg,3,1428,https://cpt.tcgcsv.com/GQH,2024-04-11T17:52:38.783,1,51/109,Common,Fighting,50,Basic,,"[1] Look for Friends 
<br> Reveal cards from your deck until you reveal a Basic Pokemon.  Show that card to your opponent and put it into your hand.  Shuffle the other revealed cards back into your deck. <i> (If you don't reveal a Basic Pokemon, shuffle all the revealed cards back into your deck.)</i>",G,None,1,27.5,35.99,59.99,31.77,,Reverse Holofoil,"[F] Bonemerang (10x) 
<br>Flip 2 coins.  This attack does 10 damage times the number of heads.",
84562,Dark Ampharos,Dark Ampharos,https://tcgplayer-cdn.tcgplayer.com/product/84562_200w.jpg,3,1428,https://cpt.tcgcsv.com/gRH,2024-04-11T17:52:38.923,1,2/109,Holo Rare,Darkness Lightning,120,Stage 2,"<b>Poke-BODY</b> Darkest Impulse <br>
<br>As long as Dark Ampharos is in play, whenever your opponent plays an Evolution card from his or her hand to evolve 1 of his or her Pokemon, put 2 damage counters on that Pokemon.  You can't use more than 1 Darkest Impulse Poke-Body each turn.",[2] Ram (30),F,None,2,53.29,85.69,105.62,71.19,,Holofoil,"[2L] Shock Bolt (70) 
<br>Discard all Lightning Energy attached to Dark Ampharos.",
84562,Dark Ampharos,Dark Ampharos,https://tcgplayer-cdn.tcgplayer.com/product/84562_200w.jpg,3,1428,https://cpt.tcgcsv.com/gRH,2024-04-11T17:52:38.923,1,2/109,Holo Rare,Darkness Lightning,120,Stage 2,"<b>Poke-BODY</b> Darkest Impulse <br>
<br>As long as Dark Ampharos is in play, whenever your opponent plays an Evolution card from his or her hand to evolve 1 of his or her Pokemon, put 2 damage counters on that Pokemon.  You can't use more than 1 Darkest Impulse Poke-Body each turn.",[2] Ram (30),F,None,2,51.84,88.42,125.0,70.0,,Reverse Holofoil,"[2L] Shock Bolt (70) 
<br>Discard all Lightning Energy attached to Dark Ampharos.",
