productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extResistance,extAttack3
83492,Aipom,Aipom,https://tcgplayer-cdn.tcgplayer.com/product/83492_200w.jpg,3,1399,https://cpt.tcgcsv.com/SpH,2023-12-11T21:14:42.67,1,43/95,Common,Colorless,50,Basic,[1] Tail Code - Move an Energy card attached to the Defending Pokemon to another of your opponent's Pokemon.,"[2] Tail Smash (30) Flip a coin.  If tails, this attack does nothing.",Fx2,1,0.09,0.27,0.89,0.25,0.2,Normal,,,
83492,Aipom,Aipom,https://tcgplayer-cdn.tcgplayer.com/product/83492_200w.jpg,3,1399,https://cpt.tcgcsv.com/SpH,2023-12-11T21:14:42.67,1,43/95,Common,Colorless,50,Basic,[1] Tail Code - Move an Energy card attached to the Defending Pokemon to another of your opponent's Pokemon.,"[2] Tail Smash (30) Flip a coin.  If tails, this attack does nothing.",Fx2,1,0.33,0.99,9.99,1.3,,Reverse Holofoil,,,
83510,Alph Lithograph,Alph Lithograph,https://tcgplayer-cdn.tcgplayer.com/product/83510_200w.jpg,3,1399,https://cpt.tcgcsv.com/dqH,2016-01-13T17:53:33.713,1,TWO,Ultra Rare,Trainer,0,Trainer,Shuffle your deck.,,,,88.01,102.0,149.36,142.72,,Holofoil,,,
83772,Beedrill,Beedrill,https://tcgplayer-cdn.tcgplayer.com/product/83772_200w.jpg,3,1399,https://cpt.tcgcsv.com/swH,2023-11-30T18:34:40.053,1,12/95,Rare,Grass,110,Stage 2,[G] Twineedle (50x) Flip 2 coins.  This attack does 50 damage times the number of heads.,"[1G] Paralyze Poison (20) The Defending Pokemon is now Poisoned.  Flip a coin.  If heads, the Defending Pokemon is also Paralyzed.",Rx2,0,0.45,1.0,1.47,1.26,,Normal,,,
83772,Beedrill,Beedrill,https://tcgplayer-cdn.tcgplayer.com/product/83772_200w.jpg,3,1399,https://cpt.tcgcsv.com/swH,2023-11-30T18:34:40.053,1,12/95,Rare,Grass,110,Stage 2,[G] Twineedle (50x) Flip 2 coins.  This attack does 50 damage times the number of heads.,"[1G] Paralyze Poison (20) The Defending Pokemon is now Poisoned.  Flip a coin.  If heads, the Defending Pokemon is also Paralyzed.",Rx2,0,3.11,5.06,14.99,4.2,,Reverse Holofoil,,,
83791,Beldum,Beldum,https://tcgplayer-cdn.tcgplayer.com/product/83791_200w.jpg,3,1399,https://cpt.tcgcsv.com/RwH,2023-12-11T21:14:49.26,1,44/95,Common,Psychic,60,Basic,[P] Reaction (10) You may switch Beldum with 1 of your Benched Pokemon.,,Px2,2,0.1,0.31,1.49,0.3,,Normal,,,
83791,Beldum,Beldum,https://tcgplayer-cdn.tcgplayer.com/product/83791_200w.jpg,3,1399,https://cpt.tcgcsv.com/RwH,2023-12-11T21:14:49.26,1,44/95,Common,Psychic,60,Basic,[P] Reaction (10) You may switch Beldum with 1 of your Benched Pokemon.,,Px2,2,0.78,0.99,2.29,1.59,,Reverse Holofoil,,,
83895,Blastoise,Blastoise,https://tcgplayer-cdn.tcgplayer.com/product/83895_200w.jpg,3,1399,https://cpt.tcgcsv.com/WzH,2023-11-30T18:36:09.68,1,13/95,Rare,Water,130,Stage 2,[2WW] Hydro Launcher - Return 2 W Energy attached to Blastoise to your hand.  Choose 1 of your opponent's Pokemon.  This attack does 100 damage to that Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),,Lx2,3,4.78,5.82,11.76,7.1,,Normal,"Wash Out - As often as you like during your turn (before your attack), you may move a W Energy attached to 1 of your Benched Pokemon to your Active Pokemon.  This power can't be used if Blastoise is affected by a Special Condition.  (Poke-POWER)",,
83895,Blastoise,Blastoise,https://tcgplayer-cdn.tcgplayer.com/product/83895_200w.jpg,3,1399,https://cpt.tcgcsv.com/WzH,2023-11-30T18:36:09.68,1,13/95,Rare,Water,130,Stage 2,[2WW] Hydro Launcher - Return 2 W Energy attached to Blastoise to your hand.  Choose 1 of your opponent's Pokemon.  This attack does 100 damage to that Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),,Lx2,3,30.0,30.0,44.0,35.44,,Reverse Holofoil,"Wash Out - As often as you like during your turn (before your attack), you may move a W Energy attached to 1 of your Benched Pokemon to your Active Pokemon.  This power can't be used if Blastoise is affected by a Special Condition.  (Poke-POWER)",,
84022,Buizel,Buizel,https://tcgplayer-cdn.tcgplayer.com/product/84022_200w.jpg,3,1399,https://cpt.tcgcsv.com/sDH,2023-12-11T21:19:49.35,1,45/95,Common,Water,60,Basic,"[W] Muddy Water (10) 
<br>Does 10 damage to 1 of your opponent's Benched Pokemon.  <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",,Lx2,1,0.1,0.29,1.49,0.27,,Normal,,None,
84022,Buizel,Buizel,https://tcgplayer-cdn.tcgplayer.com/product/84022_200w.jpg,3,1399,https://cpt.tcgcsv.com/sDH,2023-12-11T21:19:49.35,1,45/95,Common,Water,60,Basic,"[W] Muddy Water (10) 
<br>Does 10 damage to 1 of your opponent's Benched Pokemon.  <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",,Lx2,1,0.5,1.12,9.99,1.78,,Reverse Holofoil,,None,
84104,Carnivine,Carnivine,https://tcgplayer-cdn.tcgplayer.com/product/84104_200w.jpg,3,1399,https://cpt.tcgcsv.com/6GH,2023-12-11T21:27:27.88,1,46/95,Common,Grass,80,Basic,"[1] Drawup Power - Search your deck for an Energy card, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.",[G] Spit Up (20),Rx2,1,0.1,0.27,2.52,0.25,,Normal,,W-20,
84104,Carnivine,Carnivine,https://tcgplayer-cdn.tcgplayer.com/product/84104_200w.jpg,3,1399,https://cpt.tcgcsv.com/6GH,2023-12-11T21:27:27.88,1,46/95,Common,Grass,80,Basic,"[1] Drawup Power - Search your deck for an Energy card, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.",[G] Spit Up (20),Rx2,1,0.25,0.78,9.99,0.77,,Reverse Holofoil,,W-20,
84246,Cheerleader's Cheer,Cheerleaders Cheer,https://tcgplayer-cdn.tcgplayer.com/product/84246_200w.jpg,3,1399,https://cpt.tcgcsv.com/XJH,2023-12-11T21:30:08.38,1,71/95,Uncommon,Supporter,0,Supporter,Draw 3 cards.  Your opponent may draw a card.,,,,0.1,0.26,1.0,0.34,,Normal,"You can play only one Supporter each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.",,
84246,Cheerleader's Cheer,Cheerleaders Cheer,https://tcgplayer-cdn.tcgplayer.com/product/84246_200w.jpg,3,1399,https://cpt.tcgcsv.com/XJH,2023-12-11T21:30:08.38,1,71/95,Uncommon,Supporter,0,Supporter,Draw 3 cards.  Your opponent may draw a card.,,,,0.24,0.74,2.0,0.86,,Reverse Holofoil,"You can play only one Supporter each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.",,
84257,Cherrim,Cherrim,https://tcgplayer-cdn.tcgplayer.com/product/84257_200w.jpg,3,1399,https://cpt.tcgcsv.com/9KH,2025-10-10T23:16:34.497,1,28/95,Uncommon,Grass,80,Stage 1,[G] Seed Bomb (30),,Rx2,1,0.15,0.46,1.79,0.48,,Normal,"Sunny Heal - Once during your turn (before your attack), you may remove 1 damage counter from your Active Pokemon.  This power can't be used if Cherrim is affected by a Special Condition.  (Poke-POWER)",W-20,
84257,Cherrim,Cherrim,https://tcgplayer-cdn.tcgplayer.com/product/84257_200w.jpg,3,1399,https://cpt.tcgcsv.com/9KH,2025-10-10T23:16:34.497,1,28/95,Uncommon,Grass,80,Stage 1,[G] Seed Bomb (30),,Rx2,1,0.37,0.98,9.99,0.97,,Reverse Holofoil,"Sunny Heal - Once during your turn (before your attack), you may remove 1 damage counter from your Active Pokemon.  This power can't be used if Cherrim is affected by a Special Condition.  (Poke-POWER)",W-20,
84264,Cherubi,Cherubi,https://tcgplayer-cdn.tcgplayer.com/product/84264_200w.jpg,3,1399,https://cpt.tcgcsv.com/jKH,2023-12-11T21:27:33.263,1,47/95,Common,Grass,50,Basic,[1] Tackle (10),,Rx2,1,0.01,0.25,2.0,0.24,,Normal,,W-20,
84264,Cherubi,Cherubi,https://tcgplayer-cdn.tcgplayer.com/product/84264_200w.jpg,3,1399,https://cpt.tcgcsv.com/jKH,2023-12-11T21:27:33.263,1,47/95,Common,Grass,50,Basic,[1] Tackle (10),,Rx2,1,0.31,1.12,9.99,1.67,,Reverse Holofoil,,W-20,
84310,Chinchou,Chinchou,https://tcgplayer-cdn.tcgplayer.com/product/84310_200w.jpg,3,1399,https://cpt.tcgcsv.com/dLH,2023-12-11T21:27:38.62,1,48/95,Common,Lightning,60,Basic,[1] Ram (10),[1G] Lightning Ball (20),Fx2,1,0.1,0.3,1.44,0.3,0.2,Normal,,,
84310,Chinchou,Chinchou,https://tcgplayer-cdn.tcgplayer.com/product/84310_200w.jpg,3,1399,https://cpt.tcgcsv.com/dLH,2023-12-11T21:27:38.62,1,48/95,Common,Lightning,60,Basic,[1] Ram (10),[1G] Lightning Ball (20),Fx2,1,3.0,3.85,9.99,3.69,,Reverse Holofoil,,,
84488,Crobat,Crobat,https://tcgplayer-cdn.tcgplayer.com/product/84488_200w.jpg,3,1399,https://cpt.tcgcsv.com/NPH,2023-11-30T18:37:22.417,1,14/95,Rare,Psychic,110,Stage 2,[P] Supersonic (30) The Defending Pokemon is now Confused.,[2P] Hurricane Wing (30x) Flip 4 coins.  This attack does 30 damage times the number of heads.,Lx2,0,0.67,0.99,1.25,1.04,,Normal,,F-20,
84488,Crobat,Crobat,https://tcgplayer-cdn.tcgplayer.com/product/84488_200w.jpg,3,1399,https://cpt.tcgcsv.com/NPH,2023-11-30T18:37:22.417,1,14/95,Rare,Psychic,110,Stage 2,[P] Supersonic (30) The Defending Pokemon is now Confused.,[2P] Hurricane Wing (30x) Flip 4 coins.  This attack does 30 damage times the number of heads.,Lx2,0,2.75,6.01,19.99,8.0,,Reverse Holofoil,,F-20,
84489,Crobat (Prime),Crobat Prime,https://tcgplayer-cdn.tcgplayer.com/product/84489_200w.jpg,3,1399,https://cpt.tcgcsv.com/PPH,2023-12-11T21:38:12.273,1,84/95,Ultra Rare,Psychic,130,Stage 2,"[P] Severe Poison 
<br>The Defending Pokemon is now Poisoned. Put 4 damage counters instead of 1 of that Pokemon between turns.","[P] Skill Dive 
<br>Choose 1 of your opponent's Pokemon.  This attack does 30 damage to that Pokemon. <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",Lx2,0,21.0,23.18,48.0,41.81,20.6,Holofoil,,F-20,
84988,Dual Ball,Dual Ball,https://tcgplayer-cdn.tcgplayer.com/product/84988_200w.jpg,3,1399,https://cpt.tcgcsv.com/N_H,2025-02-05T21:13:35.667,1,72/95,Uncommon,Item,,,,,,,0.22,0.57,1.14,0.76,,Normal,"Flip 2 coins.  For each heads, search your deck for a Basic Pokemon card, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.",,
84988,Dual Ball,Dual Ball,https://tcgplayer-cdn.tcgplayer.com/product/84988_200w.jpg,3,1399,https://cpt.tcgcsv.com/N_H,2025-02-05T21:13:35.667,1,72/95,Uncommon,Item,,,,,,,0.75,3.6,9.99,3.95,,Reverse Holofoil,"Flip 2 coins.  For each heads, search your deck for a Basic Pokemon card, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.",,
85013,Dunsparce,Dunsparce,https://tcgplayer-cdn.tcgplayer.com/product/85013_200w.jpg,3,1399,https://cpt.tcgcsv.com/h0J,2023-12-11T18:23:03.873,1,29/95,Uncommon,Colorless,60,Basic,[1] Return (10) Draw until you have 6 cards in your hand.,,Fx2,1,0.15,0.35,1.49,0.32,,Normal,,,
85013,Dunsparce,Dunsparce,https://tcgplayer-cdn.tcgplayer.com/product/85013_200w.jpg,3,1399,https://cpt.tcgcsv.com/h0J,2023-12-11T18:23:03.873,1,29/95,Uncommon,Colorless,60,Basic,[1] Return (10) Draw until you have 6 cards in your hand.,,Fx2,1,0.99,1.31,9.99,1.13,,Reverse Holofoil,,,
85187,Emcee's Chatter,Emcees Chatter,https://tcgplayer-cdn.tcgplayer.com/product/85187_200w.jpg,3,1399,https://cpt.tcgcsv.com/M5J,2023-12-11T21:30:26.143,1,73/95,Uncommon,Supporter,0,Supporter,"Flip a coin.  If heads, draw 3 cards.  If tails, draw 2 cards.",,,,0.17,0.29,1.49,0.31,0.23,Normal,"You can play only one Supporter each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.",,
85187,Emcee's Chatter,Emcees Chatter,https://tcgplayer-cdn.tcgplayer.com/product/85187_200w.jpg,3,1399,https://cpt.tcgcsv.com/M5J,2023-12-11T21:30:26.143,1,73/95,Uncommon,Supporter,0,Supporter,"Flip a coin.  If heads, draw 3 cards.  If tails, draw 2 cards.",,,,0.35,0.64,2.18,1.08,,Reverse Holofoil,"You can play only one Supporter each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.",,
85234,Energy Returner,Energy Returner,https://tcgplayer-cdn.tcgplayer.com/product/85234_200w.jpg,3,1399,https://cpt.tcgcsv.com/J6J,2023-12-11T21:30:35.48,1,74/95,Uncommon,Trainer,0,Trainer,"Search your discard pile for 4 basic Energy cards, show them to your opponent, and put them into your hand.",,,,0.09,0.25,3.09,0.24,,Normal,,,
85234,Energy Returner,Energy Returner,https://tcgplayer-cdn.tcgplayer.com/product/85234_200w.jpg,3,1399,https://cpt.tcgcsv.com/J6J,2023-12-11T21:30:35.48,1,74/95,Uncommon,Trainer,0,Trainer,"Search your discard pile for 4 basic Energy cards, show them to your opponent, and put them into your hand.",,,,0.25,0.41,2.0,1.99,,Reverse Holofoil,,,
85264,Engineer's Adjustments,Engineers Adjustments,https://tcgplayer-cdn.tcgplayer.com/product/85264_200w.jpg,3,1399,https://cpt.tcgcsv.com/j7J,2023-12-11T21:30:42.533,1,75/95,Uncommon,Supporter,0,Supporter,"Discard an Energy card from your hand.  Then, draw 4 cards.",,,,0.19,0.33,1.49,0.38,0.25,Normal,"You can play only one Supporter each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.",,
85264,Engineer's Adjustments,Engineers Adjustments,https://tcgplayer-cdn.tcgplayer.com/product/85264_200w.jpg,3,1399,https://cpt.tcgcsv.com/j7J,2023-12-11T21:30:42.533,1,75/95,Uncommon,Supporter,0,Supporter,"Discard an Energy card from your hand.  Then, draw 4 cards.",,,,0.71,2.35,4.64,2.21,,Reverse Holofoil,"You can play only one Supporter each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.",,
