sourceName,productId,cleanName,groupId,extNumber,extRarity,extCardType,marketPrice,subTypeName
AlternateArtPromosProductsAndPrices.csv,131695,M Lucario EX 55a 111,1938,055a/111,Promo,Fighting,96.56,Holofoil
AlternateArtPromosProductsAndPrices.csv,131696,M Manectric EX 24a 119,1938,024a/119,Promo,Lightning,21.29,Holofoil
AlternateArtPromosProductsAndPrices.csv,131697,Jolteon EX 28a 83,1938,028a/083,Promo,Lightning,26.92,Holofoil
AlternateArtPromosProductsAndPrices.csv,131698,Zygarde EX 54a 124,1938,054a/124,Promo,Fighting,70.98,Holofoil
AlternateArtPromosProductsAndPrices.csv,133813,Professor Sycamore 107a 122 Holofoil,1938,107a/122,Promo,Supporter,0.71,Holofoil
AlternateArtPromosProductsAndPrices.csv,133814,Professor Sycamore 107a 122 Non Holo,1938,107a/122,Promo,Supporter,0.31,Normal
AlternateArtPromosProductsAndPrices.csv,133815,Trainers Mail 92a 108 Non Holo,1938,092a/108,Promo,Item,1.98,Normal
AlternateArtPromosProductsAndPrices.csv,133816,Trainers Mail 92a 108 Holo,1938,092a/108,Promo,Item,2.36,Holofoil
AlternateArtPromosProductsAndPrices.csv,148339,Blacksmith 88a 106,1938,088a/106,Promo,Supporter,21.79,Holofoil
AlternateArtPromosProductsAndPrices.csv,148340,Aegislash EX 65a 119,1938,065a/119,Promo,Metal,10.61,Holofoil
AlternateArtPromosProductsAndPrices.csv,148341,Delinquent 98b 122 Full Art,1938,098b/122,Promo,Supporter,52.07,Holofoil
AlternateArtPromosProductsAndPrices.csv,148342,Hex Maniac 75a 98,1938,075a/098,Promo,Supporter,114.02,Holofoil
AlternateArtPromosProductsAndPrices.csv,148343,Jirachi XY67a,1938,XY67a,Promo,Metal,124.9,Holofoil
AlternateArtPromosProductsAndPrices.csv,148344,Karen XY177a,1938,XY177a,Promo,Supporter,56.2,Holofoil
AlternateArtPromosProductsAndPrices.csv,148345,M Camerupt EX XY198a,1938,XY198a,Promo,Fire,28.11,Holofoil
AlternateArtPromosProductsAndPrices.csv,148346,M Sharpedo EX XY200a,1938,XY200a,Promo,Darkness,59.47,Holofoil
AlternateArtPromosProductsAndPrices.csv,148347,N Supporter 105a 124,1938,105a/124,Promo,Supporter,150.54,Holofoil
AlternateArtPromosProductsAndPrices.csv,148348,Regirock EX 43a 124,1938,043a/124,Promo,Fighting,21.19,Holofoil
AlternateArtPromosProductsAndPrices.csv,148349,Shauna 111a 124,1938,111a/124,Promo,Supporter,47.93,Holofoil
AlternateArtPromosProductsAndPrices.csv,148350,Shaymin EX 77a 108,1938,077a/108,Promo,Colorless,180.34,Holofoil
AlternateArtPromosProductsAndPrices.csv,148351,Team Flare Grunt 73a 83,1938,073a/083,Promo,Supporter,15.96,Holofoil
AlternateArtPromosProductsAndPrices.csv,148352,Yveltal EX XY150a,1938,XY150a,Promo,Darkness,146.5,Holofoil
AlternateArtPromosProductsAndPrices.csv,148388,Slowking 21 122 Cosmos Holo,1938,021/122,Promo,Water,2.14,Holofoil
AlternateArtPromosProductsAndPrices.csv,155599,Guzzlord GX 63a 111,1938,063a/111,Promo,Darkness,14.17,Holofoil
AlternateArtPromosProductsAndPrices.csv,161362,Porygon Z 105a 147,1938,105a/147,Promo,Colorless,0.8,Holofoil
AlternateArtPromosProductsAndPrices.csv,162041,Darkrai GX 88a 147,1938,088a/147,Promo,Darkness,11.6,Holofoil
AlternateArtPromosProductsAndPrices.csv,164234,Entei GX 10a 73,1938,010a/073,Promo,Fire,4.45,Holofoil
AlternateArtPromosProductsAndPrices.csv,171033,Kirlia 92a 147,1938,092a/147,Promo,Fairy,2.15,Holofoil
AlternateArtPromosProductsAndPrices.csv,173381,Tapu Koko SM30a,1938,SM30a,Promo,Lightning,5.29,Holofoil
AlternateArtPromosProductsAndPrices.csv,174488,Alolan Vulpix 21a 145,1938,021a/145,Promo,Water,5.66,Holofoil
AlternateArtPromosProductsAndPrices.csv,177113,Sylveon GX 92a 145,1938,092a/145,Promo,Fairy,22.99,Holofoil
AlternateArtPromosProductsAndPrices.csv,177166,Professors Letter 146a 162,1938,146a/162,Promo,Item,6.68,Normal
AlternateArtPromosProductsAndPrices.csv,177166,Professors Letter 146a 162,1938,146a/162,Promo,Item,10.99,Holofoil
AlternateArtPromosProductsAndPrices.csv,177167,Delinquent 98a 122,1938,098a/122,Promo,Supporter,11.59,Holofoil
AlternateArtPromosProductsAndPrices.csv,177167,Delinquent 98a 122,1938,098a/122,Promo,Supporter,7.25,Normal
AlternateArtPromosProductsAndPrices.csv,179367,Tapu Lele GX 60a 145,1938,060a/145,Promo,Psychic,4.84,Holofoil
AlternateArtPromosProductsAndPrices.csv,179371,Tapu Fini GX 39a 147,1938,039a/147,Promo,Water,3.16,Holofoil
AlternateArtPromosProductsAndPrices.csv,179380,Eevee 101a 149,1938,101a/149,Promo,Colorless,17.96,Holofoil
AlternateArtPromosProductsAndPrices.csv,180514,Alolan Exeggutor 2a 131,1938,002a/131,Promo,Grass,1.12,Holofoil
AlternateArtPromosProductsAndPrices.csv,184219,Altaria 40a 70,1938,040a/070,Promo,Dragon,0.89,Holofoil
AlternateArtPromosProductsAndPrices.csv,184331,Regigigas 84a 111,1938,084a/111,Promo,Colorless,4.25,Holofoil
AlternateArtPromosProductsAndPrices.csv,186106,Charmander 18a 147,1938,018a/147,Promo,Fire,2.96,Holofoil
AlternateArtPromosProductsAndPrices.csv,189786,Sceptile 10a 168,1938,010a/168,Promo,Grass,1.97,Holofoil
AlternateArtPromosProductsAndPrices.csv,191907,Garbodor 51a 145 Cosmos Holo,1938,051a/145,Promo,Psychic,2.55,Holofoil
AlternateArtPromosProductsAndPrices.csv,197853,Alolan Sandshrew 19a 145,1938,019a/145,Promo,Water,1.56,Holofoil
