cleanName,groupId,groupName,productId,subTypeName,extCardType,extNumber,extRarity,releaseDate,releaseYear,marketPrice
Aggron 80 124 Cosmos Holo,2289,Blister Exclusives,251183,Holofoil,Metal,080/124,Promo,1998-02-27,1998,12.01
Alakazam 082 167 Cosmos Holo,2289,Blister Exclusives,620227,Holofoil,Psychic,082/167,Rare,1998-02-27,1998,2.33
Alolan Dugtrio 87 149 Cosmos Holo,2289,Blister Exclusives,173106,Holofoil,Metal,087/149,Promo,1998-02-27,1998,2.36
Alolan Golem 42 145 Cosmos Holo,2289,Blister Exclusives,173100,Holofoil,Lightning,042/145,Promo,1998-02-27,1998,1.96
Alolan Muk 58 149 Cosmos Holo,2289,Blister Exclusives,173104,Holofoil,Psychic,058/149,Promo,1998-02-27,1998,4.12
Alolan Persian 79 149 Cosmos Holo,2289,Blister Exclusives,173102,Holofoil,Darkness,079/149,Promo,1998-02-27,1998,1.72
Ampharos 40 124 Cosmos Holo,2289,Blister Exclusives,216886,Holofoil,Lightning,040/124,Promo,1998-02-27,1998,12.67
Applin 020 192 Cosmos Holo,2289,Blister Exclusives,245146,Holofoil,Grass,020/192,Promo,1998-02-27,1998,0.2
Arcanine 22 214 Cosmos Holo,2289,Blister Exclusives,243855,Holofoil,Fire,022/214,Promo,1998-02-27,1998,9.47
Articuno 27 99 Next Destinies,2289,Blister Exclusives,147237,Holofoil,Water,027/099,Promo,1998-02-27,1998,3.57
Baxcalibur 060 193 Cosmos Holo,2289,Blister Exclusives,555880,Holofoil,Water,060/193,Promo,1998-02-27,1998,0.38
Beartic 30 98 Cosmos Holo,2289,Blister Exclusives,173090,Holofoil,Water,030/098,Promo,1998-02-27,1998,1.35
Beartic 30 98 Cracked Ice Holo,2289,Blister Exclusives,173091,Holofoil,Water,030/098,Promo,1998-02-27,1998,1.52
Beheeyem 62 99 Cosmos Holo,2289,Blister Exclusives,91396,Holofoil,Psychic,062/099,Promo,1998-02-27,1998,1.0
Blastoise 16 101 Cosmos Holo,2289,Blister Exclusives,165634,Holofoil,Water,016/101,Promo,1998-02-27,1998,5.76
Boldore 51 98 Cracked Ice Holo,2289,Blister Exclusives,173093,Holofoil,Fighting,051/098,Promo,1998-02-27,1998,2.05
Chandelure 20 99 Cracked Ice Holo,2289,Blister Exclusives,282145,,Fire,020/099,Promo,1998-02-27,1998,
Chandelure 43 119 Cosmos Holo,2289,Blister Exclusives,253847,Holofoil,Psychic,043/119,Promo,1998-02-27,1998,8.25
Charizard 20 149 Cosmos Holo,2289,Blister Exclusives,220119,Holofoil,Fire,020/149,Promo,1998-02-27,1998,29.37
Chesnaught 14 146 Cosmos Holo,2289,Blister Exclusives,141245,Holofoil,Grass,014/146,Promo,1998-02-27,1998,1.32
Cobalion 84 101 Cosmos Holo,2289,Blister Exclusives,227474,Holofoil,Metal,084/101,Promo,1998-02-27,1998,1.5
Copperajah 137 202 Non Holo Gamestop Exclusive,2289,Blister Exclusives,222223,Normal,Metal,137/202,Promo,1998-02-27,1998,0.56
Crobat 56 149 Cosmos Holo,2289,Blister Exclusives,173101,Holofoil,Psychic,056/149,Promo,1998-02-27,1998,3.79
Dartrix 10 149 Cosmos Holo,2289,Blister Exclusives,133823,Holofoil,Grass,010/149,Promo,1998-02-27,1998,0.99
Delphox 26 146 Cosmos Holo,2289,Blister Exclusives,141246,Holofoil,Fire,026/146,Promo,1998-02-27,1998,1.11
Dragonite 5 20 Dragon Vault,2289,Blister Exclusives,233835,Holofoil,Dragon,005/020,Promo,1998-02-27,1998,8.22
Dragonite 83 116 Cosmos Holo,2289,Blister Exclusives,153312,Holofoil,Dragon,083/116,Promo,1998-02-27,1998,11.9
Druddigon 17 20 Dragon Vault,2289,Blister Exclusives,145868,Holofoil,Dragon,017/020,Promo,1998-02-27,1998,7.06
Druddigon 70 106Cosmos Holo,2289,Blister Exclusives,179082,Holofoil,Dragon,070/106,Promo,1998-02-27,1998,1.76
Dusknoir 63 149 Cosmos Holo,2289,Blister Exclusives,165633,Holofoil,Psychic,063/149,Promo,1998-02-27,1998,2.38
Eelektross 65 160 Cosmos Holo,2289,Blister Exclusives,173111,Holofoil,Lightning,065/160,Promo,1998-02-27,1998,1.97
Electivire 54 149 Cosmos Holo,2289,Blister Exclusives,221300,Holofoil,Lightning,054/149,Promo,1998-02-27,1998,6.09
Emboar 26 149 Cosmos Holo,2289,Blister Exclusives,227085,Holofoil,Fire,026/149,Promo,1998-02-27,1998,4.33
Entei 14 98 Cosmos Holo,2289,Blister Exclusives,170833,Holofoil,Fire,014/098,Promo,1998-02-27,1998,2.32
Espeon 89 214 Cosmos Holo,2289,Blister Exclusives,229577,Holofoil,Psychic,089/214,Promo,1998-02-27,1998,9.98
Excadrill 56 98 Cosmos Holo,2289,Blister Exclusives,173097,Holofoil,Fighting,056/098,Promo,1998-02-27,1998,5.49
Feraligatr 17 119 Cosmos Holo,2289,Blister Exclusives,141247,Holofoil,Water,017/119,Promo,1998-02-27,1998,2.92
Flygon 110 160 Cosmos Holo,2289,Blister Exclusives,173112,Holofoil,Dragon,110/160,Promo,1998-02-27,1998,11.71
Furfrou 114 146 Cosmos Holo,2289,Blister Exclusives,164178,Holofoil,Colorless,114/116,Promo,1998-02-27,1998,1.17
Gallade 61 135 Cosmos Holo,2289,Blister Exclusives,144668,Holofoil,Psychic,061/135,Promo,1998-02-27,1998,2.76
Gallade 84 162 Cosmos Holo,2289,Blister Exclusives,216754,Holofoil,Fighting,084/162,Promo,1998-02-27,1998,0.85
Garchomp 91 124 Cosmos Holo,2289,Blister Exclusives,164208,Holofoil,Dragon,091/124,Promo,1998-02-27,1998,3.5
Gardevoir 54 98 Cosmos Holo,2289,Blister Exclusives,221301,Holofoil,Fairy,054/098,Promo,1998-02-27,1998,4.4
Garganacl Cosmos Holo,2289,Blister Exclusives,556981,Holofoil,Fighting,123/193,Rare,1998-02-27,1998,0.24
Gigalith 53 98 Cracked Ice Holo,2289,Blister Exclusives,173094,Holofoil,Fighting,053/098,Promo,1998-02-27,1998,2.93
Gigalith 71 149 Cosmos Holo,2289,Blister Exclusives,173103,Holofoil,Fighting,071/149,Promo,1998-02-27,1998,0.9
Giratina 97 214 Cosmos Holo,2289,Blister Exclusives,228537,Holofoil,Psychic,097/214,Promo,1998-02-27,1998,3.97
