groupId,name,abbreviation,isSupplemental,publishedOn,modifiedOn,categoryId
24448,ME02: Phantasmal Flames,PFL,FALSE,2025-11-14T00:00:00,2025-09-23T14:11:13.133,3
24451,ME: Mega Evolution Promo,MEP,FALSE,2025-09-26T00:00:00,2025-10-13T16:18:39.763,3
24380,ME01: Mega Evolution,MEG,FALSE,2025-09-26T00:00:00,2025-10-13T20:25:50.053,3
24461,MEE: Mega Evolution Energies,MEE,FALSE,2025-09-26T00:00:00,2025-09-28T18:23:32.477,3
24325,SV: Black Bolt,BLK,FALSE,2025-07-18T00:00:00,2025-09-26T13:13:34.09,3
24326,SV: White Flare,WHT,FALSE,2025-07-18T00:00:00,2025-09-29T15:42:29.273,3
24269,SV10: Destined Rivals,DRI,FALSE,2025-05-30T00:00:00,2025-10-14T04:47:59.457,3
24073,SV09: Journey Together,JTG,FALSE,2025-03-28T00:00:00,2025-10-14T19:23:02.257,3
24163,McDonald's Promos 2024,M24,FALSE,2025-01-21T00:00:00,2025-04-07T13:21:52.553,3
23821,SV: Prismatic Evolutions,PRE,FALSE,2025-01-17T00:00:00,2025-10-14T19:13:30.327,3
23651,SV08: Surging Sparks,SSP,FALSE,2024-11-08T00:00:00,2025-10-14T04:38:27.647,3
23537,SV07: Stellar Crown,SCR,FALSE,2024-09-13T00:00:00,2025-10-14T04:58:16.313,3
23561,Trick or Trade BOOster Bundle 2024,TTBB24,FALSE,2024-08-30T00:00:00,2025-08-27T18:15:30.553,3
23529,SV: Shrouded Fable,SFA,FALSE,2024-08-02T00:00:00,2025-10-14T19:12:25.3,3
23520,Battle Academy 2024,BA24,FALSE,2024-06-21T00:00:00,2025-06-16T17:22:44.953,3
23473,SV06: Twilight Masquerade,TWM,FALSE,2024-05-24T00:00:00,2025-10-13T22:54:13.71,3
23381,SV05: Temporal Forces,TEF,FALSE,2024-03-22T00:00:00,2025-10-14T05:23:14.02,3
23353,SV: Paldean Fates,PAF,FALSE,2024-01-26T00:00:00,2025-10-13T22:31:54.257,3
23323,Trading Card Game Classic,CL,FALSE,2023-11-17T00:00:00,2025-07-14T19:54:31.72,3
23286,SV04: Paradox Rift,PAR,FALSE,2023-11-03T00:00:00,2025-10-14T19:11:18.677,3
23330,My First Battle,,FALSE,2023-09-29T00:00:00,2025-10-08T18:54:49.893,3
23237,SV: Scarlet & Violet 151,MEW,FALSE,2023-09-22T00:00:00,2025-10-14T04:40:48.347,3
23306,McDonald's Promos 2023,M23,FALSE,2023-09-12T00:00:00,2024-09-23T14:50:07.327,3
23266,Trick or Trade BOOster Bundle 2023,TTBB23,FALSE,2023-09-01T00:00:00,2025-01-22T18:50:15.247,3
23228,SV03: Obsidian Flames,OBF,FALSE,2023-08-11T00:00:00,2025-10-13T22:49:11.833,3
23120,SV02: Paldea Evolved,PAL,FALSE,2023-06-09T00:00:00,2025-10-14T04:11:28.593,3
22872,SV: Scarlet & Violet Promo Cards,SVP,FALSE,2023-03-31T00:00:00,2025-10-09T14:50:58.183,3
22873,SV01: Scarlet & Violet Base Set,SVI,FALSE,2023-03-31T00:00:00,2025-10-14T19:23:56.197,3
24382,SVE: Scarlet & Violet Energies,SVE,FALSE,2023-03-31T00:00:00,2025-08-11T14:23:08.873,3
17688,Crown Zenith,CRZ,FALSE,2023-01-20T00:00:00,2025-10-14T03:22:38.813,3
17689,Crown Zenith: Galarian Gallery,CRZ:GG,FALSE,2023-01-20T00:00:00,2025-08-21T20:20:06.637,3
22880,Prize Pack Series Cards,,FALSE,2022-11-30T00:00:00,2025-10-14T04:05:53.973,3
3170,SWSH12: Silver Tempest,SWSH12,FALSE,2022-11-11T00:00:00,2025-10-14T04:46:43.99,3
17674,SWSH12: Silver Tempest Trainer Gallery,SWSH12: TG,FALSE,2022-11-11T00:00:00,2025-04-17T09:07:01.777,3
3118,SWSH11: Lost Origin,SWSH11,FALSE,2022-09-09T00:00:00,2025-09-08T19:42:05.41,3
3172,SWSH11: Lost Origin Trainer Gallery,SWSH11: TG,FALSE,2022-09-09T00:00:00,2025-09-26T20:12:59.457,3
3179,Trick or Trade BOOster Bundle,TTBB,FALSE,2022-09-01T00:00:00,2025-10-14T00:38:02.483,3
3150,McDonald's Promos 2022,MCD22,FALSE,2022-08-03T00:00:00,2024-05-08T11:30:55.18,3
3064,Pokemon GO,PGO,FALSE,2022-07-01T00:00:00,2025-09-18T13:55:41.28,3
3040,SWSH10: Astral Radiance,SWSH10,FALSE,2022-05-27T00:00:00,2025-10-14T02:46:48.117,3
3068,SWSH10: Astral Radiance Trainer Gallery,SWSH10:TG,FALSE,2022-05-27T00:00:00,2025-10-10T20:40:53.143,3
3051,Battle Academy 2022,BA22,FALSE,2022-04-01T00:00:00,2025-10-14T00:17:14.473,3
2948,SWSH09: Brilliant Stars,SWSH09,FALSE,2022-02-25T00:00:00,2025-10-14T03:06:01.707,3
3020,SWSH09: Brilliant Stars Trainer Gallery,SWSH09:TG,FALSE,2022-02-25T00:00:00,2025-06-24T19:58:40.013,3
