groupId,groupName,groupCode,releaseDate,releaseYear
24448,ME02: Phantasmal Flames,PFL,2025-11-14,2025
24451,ME: Mega Evolution Promo,MEP,2025-09-26,2025
24380,ME01: Mega Evolution,MEG,2025-09-26,2025
24461,MEE: Mega Evolution Energies,MEE,2025-09-26,2025
24325,SV: Black Bolt,BLK,2025-07-18,2025
24326,SV: White Flare,WHT,2025-07-18,2025
24269,SV10: Destined Rivals,DRI,2025-05-30,2025
24073,SV09: Journey Together,JTG,2025-03-28,2025
24163,McDonald's Promos 2024,M24,2025-01-21,2025
23821,SV: Prismatic Evolutions,PRE,2025-01-17,2025
23651,SV08: Surging Sparks,SSP,2024-11-08,2024
23537,SV07: Stellar Crown,SCR,2024-09-13,2024
23561,Trick or Trade BOOster Bundle 2024,TTBB24,2024-08-30,2024
23529,SV: Shrouded Fable,SFA,2024-08-02,2024
23520,Battle Academy 2024,BA24,2024-06-21,2024
23473,SV06: Twilight Masquerade,TWM,2024-05-24,2024
23381,SV05: Temporal Forces,TEF,2024-03-22,2024
23353,SV: Paldean Fates,PAF,2024-01-26,2024
23323,Trading Card Game Classic,CL,2023-11-17,2023
23286,SV04: Paradox Rift,PAR,2023-11-03,2023
23330,My First Battle,MYFB,2023-09-29,2023
23237,SV: Scarlet & Violet 151,MEW,2023-09-22,2023
23306,McDonald's Promos 2023,M23,2023-09-12,2023
23266,Trick or Trade BOOster Bundle 2023,TTBB23,2023-09-01,2023
23228,SV03: Obsidian Flames,OBF,2023-08-11,2023
23120,SV02: Paldea Evolved,PAL,2023-06-09,2023
22872,SV: Scarlet & Violet Promo Cards,SVP,2023-03-31,2023
22873,SV01: Scarlet & Violet Base Set,SVI,2023-03-31,2023
24382,SVE: Scarlet & Violet Energies,SVE,2023-03-31,2023
17688,Crown Zenith,CRZ,2023-01-20,2023
17689,Crown Zenith: Galarian Gallery,CRZ:GG,2023-01-20,2023
22880,Prize Pack Series Cards,PPSC,2022-11-30,2022
3170,SWSH12: Silver Tempest,SWSH12,2022-11-11,2022
17674,SWSH12: Silver Tempest Trainer Gallery,SWSH12: TG,2022-11-11,2022
3118,SWSH11: Lost Origin,SWSH11,2022-09-09,2022
